"Eintrag";"Quelle";"Seite";"Amt";"Hofherr";"Laufnr";"Name";"Dienstbeginn";"Abraitung";"Erstaufnahme";"Quellenkommentar";"Bearbeiterkommentar";"Anmerkung";"Sort";"F41"
"2599";"J 17";"25v";"H0";"M2";"11";"Borziwoy Burggrave zu Donna";;;"mh";;;;"1569";"17790"
"2600";"J 17";"25v";"H0";"M2";"12";"Grave Oracius de Trivulz";;;"mh";;;;"1569";"16099"
"2601";"J 17";"25v";"H0";"M2";"13";"Georg Valezkhy";;;"mh";;;;"1569";"17804"
"2602";"J 17";"25v";"H0";"M2";"14";"Castelampfi";;;"mh";;;;"1569";"12614"
"2603";"J 17";"26r";"H0";"M2";"15";"Georg von Rödern";;;"mh";;;;"1569";"17312"
"2604";"J 17";"26r";"H0";"M2";"16";"Hannß von Landaw";;;"mh";;;;"1569";"17871"
"2605";"J 17";"26r";"Ms";"M2";"17";"Hanns Ludwig Spät";;;"mh";"Hofdiener";;;"1569";"17943"
"2606";"J 17";"26r";"H0";"M2";"18";"Zdenckho von der Leipp Erbmarschalch in Behem";;;"mh";;;;"1569";"11674"
"2607";"J 17";"26r";"Pt";"M2";"19";"Sigmundt Grave zu Hardegg";;;"mh";"Hofdiener";;;"1569";"19103"
"2608";"J 17";"26v";"H0";"M2";"20";"Hainrich von Walstain";;;"mh";;;;"1569";"17313"
"2609";"J 17";"26v";"H0";"M2";"21";"Franciscus Rebey";;;"mh";;;;"1569";"15703"
"2610";"J 17";"26v";"H0";"M2";"22";"Leopoldt Freyherr zu Herberstain";;;"mh";;;;"1569";"17549"
"2611";"J 17";"26v";"H0";"M2";"23";"Caesar de Ebulij";;;"mh";;;;"1569";"15697"
"2612";"J 17";"27r";"H0";"M2";"24";"Alexander Khotkhowiz";;;"mh";;;;"1569";"17273"
"2613";"J 17";"27r";"H0";"M2";"25";"Hainrich Donnat";;;"mh";;;;"1569";"17585"
"2614";"J 17";"27r";"H0";"M2";"26";"Steffan Humaney";;;"mh";;;;"1569";"17145"
"2615";"J 17";"27r";"H0";"M2";"27";"Berrnhardt Herr von Tscheratin";;;"mh";;;"gestrichen";"1569";"17608"
"2616";"J 17";"27v";"H0";"M2";"28";"Wenzl Herr von Bozkhowiz";;;"mh";;;;"1569";NULL
"2617";"J 17";"27v";"H0";"M2";"29";"Oracius Gonsaga Marggraf";;;"mh";;;;"1569";"16945"
"2618";"J 17";"27v";"H0";"M2";"30";"Wilhalbm Grave zu Schwarzenburg";;;"mh";;;"nachgetragen";"1569";"16699"
"2619";"J 17";"27v";"H0";"M2";"31";"Wolff Grave zu Eberstain";;;"mh";;;"nachgetragen";"1569~";"17715"
"2620";"J 17";"28r";"HVC";"M2";"1";"Johann Ulrich Zasy der Rechten Doctor";;;"mh";;;;"1569";"17851"
"2621";"J 17";"28r";"GR";"M2";"0";"Johann Ulrich Zasy der Rechten Doctor";;;"mh";;;;"1569";"17851"
"2622";"J 17";"28v";"RHSek";"M2";"1";"Caspar von Lindegg zu Lisana";;;"mh";;;"gestrichen";"1569";"17290"
"2623";"J 17";"28v";"RHSek";"M2";"2";"Petter Obernburger";;;"mh";;;;"1569";"11356"
"2624";"J 17";"28v";"RHSek";"M2";"3";"Anndree Erstenberger";;;"mh";;;;"1569";"31090"
"2625";"J 17";"29r";"RHSek";"M2";"4";"Wolff Unverzagt";;;"mh";;;;"1569";"13663"
"2626";"J 17";"29r";"RHSek";"M2";"5";"Hanno Fieringer";;;"mh";;;;"1569";NULL
"2627";"J 17";"29r";"HCSek";"M2";"1";"Bartholomeus Hanibaldt";;;"mh";;;;"1569";"31097"
"2628";"J 17";"29r";"HKrSek";"M2";"1";"Bernhardt Reisacher";;;"mh";;"http://www.academia.edu/967481/Die_Akten_und_Protokolle_des_Wiener_Hofkriegsrats_im_16._und_17._Jahrhundert._In_Quellenkunde_der_Habsburgermonarchie_16._18._Jahrhundert_._Ein_exemplarisches_Handbuch._Hrsg._Josef_Pauser_Martin_Scheutz_Thomas_Winkelbauer._Wien_M%C3%BCnchen_Oldenbourg_2004._Mitteilungen_des_Instituts_f%C3%BCr_%C3%96sterreichische_Geschichtsforschung_Erg%C3%A4nzungsband_44._p._182_195";;"1569";"31128"
"2629";"J 17";"29v";"HCSekLA";"M2";"1";"Marx Sinckhmoser zu Jufall";;"1569-05-01";"mh";;"http://epa.oszk.hu/01500/01500/00003/pdf/Kenyeres_Istvan.pdf";;"1569";"11094"
"2630";"J 17";"30r";"HKaSek";"M2";"1";"Caspar Geizkhoffler";;;"mh";"Oberster Hofkammersekretär";;;"1569";"17357"
"2631";"J 17";"30r";"HKaSek";"M2";"1";"Ulrich Weinburger";;;"mh";;;;"1569";NULL
"2632";"J 17";"30r";"HKaSek";"M2";"2";"Jacob Hueber";;;"mh";;;;"1569";"11547"
"2633";"J 17";"30v";"HKaSek";"M2";"3";"Michael Geldricher";;;"mh";;;;"1569";"31123"
"2634";"J 17";"30v";"HKaSek";"M2";"4";"Christoff Kärner";;;"mh";;;;"1569";NULL
"2635";"J 17";"36v";"HKaD";"M2";"1";"Frannz Timpel";;;"mh";;;"Diener bei der Buchhalterei";"1569";"31157"
"2636";"J 17";"38v";"HCSekES";"M2";"1";"Hernando Mazuelo";;;"mh";;;;"1569";"15069"
"2637";"J 17";"38v";"R";"M2";"1";"Johann Listius Bischoff zu Vesprin";;;"mh";;;"Vizekanzler für Ungarn, 1568 Bischof zu Weißbrunn nachgetragen";"1569";"12690"
"2638";"J 17";"38v";"HCSekHU";"M2";"1";"Georg Botschkhay";;;"mh";;;"Georg nachgetragen";"1569";"15196"
"2639";"J 17";"38v";"HCSekHU";"M2";"2";"Niclaß Istwannffy";;;"mh";;;"nachgetragen";"1569";"15870"
"2640";"J 17";"39r";"R";"M2";"1";"Wradislaws Herr zu Pernstain";;;"mh";;;"Oberstkanzler von Böhmen";"1569";"12313"
"2641";"J 17";"39r";"R";"M2";"1";"Doctor Georg Mehl";;;"mh";;;"deutscher Vizekanzler für Böhmen";"1569";"11895"
"2642";"J 17";"39v";"HCSekCZ";"M2";"1";"Niclas Walther";;;"mh";;;;"1569";NULL
"2643";"J 17";"39v";"HCSekBO";"M2";"1";"Herman Ygll";;;"mh";;;;"1569";NULL
"2644";"J 17";"40r";"HCSekBG";"M2";"1";"Hieronimus Loek";;;"mh";;;;"1569";"14183"
"2645";"J 17";"40r";"HPostM";"M2";"1";"Paull Wolzogen";;;"mh";;;"gestrichen";"1569";"31492"
"2646";"J 17";"40r";"HPostMX";"M2";"2";"Hanß Wolzogen";;;"mh";;;"nachgetragen";"1569";"31496"
"2647";"J 17";"42r";"HarHM";"M2";"1";"Hanns Gieraldoskhy";;;"mh";;;;"1569";"19443"
"2648";"J 17";"42v";"TraHM";"M2";"1";"Conradt des Hailligen Römischen Reichs Erb Marschalch zu Pappenhaim";;;"mh";;;;"1569";"13488"
"2649";"J 17";"43r";"OKüM";"M2";"1";"Christoff Zwickhl zum Weyer";;;"mh";;;;"1569";"13444"
"2650";"J 17";"43r";"So";"M2";"1";"Hanns Lesser";;;"mh";;;"gestrichen";"1569";NULL
"2651";"J 17";"43r";"So";"M2";"2";"Philip Jacob Khlockler";;;"mh";;;"nachgetragen";"1569";NULL
"2653";"J 17";"50r";"HZM";"M2";"1";"David Haag";;;"mh";;;;"1569";"11095"
"2654";"J 17";"50v";"HKt";"M2";"1";"Niclas Rath";;;"mh";;;"nachgetragen";"1569";NULL
"2655";"J 17";"50v";"HKt";"M2";"2";"Christoff Stredele";;;"mh";;;"gestrichen";"1569";NULL
"2656";"J 17";"53r";"OFalkM";"M2";"1";"Hanns Hager";;;"mh";;;;"1569";"14462"
"2657";"J 17";"57r";"HKrQM";"M2";"1";"Jheremias Boyde";;;"mh";;;;"1569";"17558"
"2658";"J 17";"67v";"K0";"M2";"1";"Leonhardt von Harrach Freyherr der Ellter";;;"mh";"Diese hernach volgende Personen sollen gleichwol den Schlissel zu vnnser Camer haben dürffen aber nit mehr Dienen";;;"1569";"12864"
"2659";"J 17";"67v";"K0";"M2";"2";"Wradislaus Herr von Pernstain";;;"mh";"Böhmischer Oberstkanzler";;;"1569";"12313"
"2660";"J 17";"68r";"K0";"M2";"3";"Ludwig Ungnad Freyherr";;;"mh";;;;"1569";"13676"
"2661";"J 17";"68r";"K0";"M2";"4";"der von der Leipp";;;"mh";;;;"1569";"11945"
"2662";"J 17";"68r";"K0";"M2";"5";"Adam von Dietrichstain";;;"mh";;;;"1569";"10264"
"2663";"J 17";"68r";"K0";"M2";"6";"Petter von Molart";;;"mh";;;;"1569";"12207"
"2664";"J 17";"68v";"K0";"M2";"7";"Adam Schwetkhowiz";;;"mh";;;;"1569";"18793"
"2665";"J 17";"68v";"K0";"M2";"8";"Petter Herr von Rosenberg";;;"mh";;;;"1569";"11260"
"2666";"J 17";"68v";"K0";"M2";"9";"Leonhardt von Harrach Freyherr der Jüngere";;;"mh";;;;"1569";"12865"
"2667";"J 17";"69r";"K";"M2";"1";"Georg Proßkhowsky von Proßkhaw Comenthur zu Grebineckh";;;"mh";;;;"1569";"17845"
"2668";"J 17";"69r";"K";"M2";"2";"Phillip von Thunn";;;"mh";;;;"1569";"12220"
"2669";"J 17";"69v";"K";"M2";"3";"Don Juan de Manrique";;;"mh";;;;"1569";"12309"
"2670";"J 17";"69v";"K";"M2";"4";"Hanns Khevenhüller Freyherr";;;"mh";;;;"1569";"10118"
"2671";"J 17";"69v";"K";"M2";"5";"Hanns von Heissenstain";;;"mh";;;"nachgetragen";"1569";"11150"
"2672";"J 17";"69v";"K";"M2";"6";"Paul Sixt Trautson Freyherr";;;"mh";;;"nachgetragen";"1569~";"10150"
"2673";"J 17";"69v";"K";"M2";"7";"Georg Schmizianskhy";;;"mh";;;"nachgetragen";"1569";"14642"
"2674";"J 17";"69v";"K";"M2";"8";"Friderich Preyner";;;"mh";;;"nachgetragen";"1569";"14458"
"2675";"J 17";"70r";"Kd";"M2";"1";"Franciscus Caverin";;;"mh";;;;;NULL
"2676";"J 17";"70r";"Kd";"M2";"2";"Benedict Ehn";;;"mh";;;;;NULL
"2677";"J 17";"70r";"Kd";"M2";"3";"Hanns Berchtoldt";;;"mh";;;;;"17734"
"2678";"J 17";"70v";"Kd";"M2";"4";"Hanns Klainhoffer";;;"mh";;;;;NULL
"2681";"J 17";"71r";"Med";"M2";"1";"Julius Alexandrinus";;;"mh";;;;"1569";"11651"
"2682";"J 17";"71r";"Med";"M2";"2";"Franciscus Parthin";;;"mh";;;;"1569";"31088"
"2683";"J 17";"71r";"Med";"M2";"3";"Johannes Crato";;;"mh";;;;"1569";"17840"
"2684";"J 17";"71v";"Med";"M2";"4";"Nicolaus Bießius";;;"mh";;;;"1569";"17842"
"2685";"J 17";"77v";"OStallM";"M2";"1";"Ruedolff Khuen von Belasy";;;"mh";;;;"1569";"10087"
"2686";"SR 184.74";"2r";"OK";"MS";"1";"Hanns Bernhard Lebl Freiherr auf Greinburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"11080"
"2687";"SR 184.74";"2r";"R";"R2";"0";"Hanns Bernhard Lebl Freiherr auf Greinburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"11080"
"2688";"SR 184.74";"2r";"OStallM";"MS";"1";"Octavio Cavriani";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10099"
"2689";"SR 184.74";"2r";"K";"MS";"0";"Octavio Cavriani";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10099"
"2690";"SR 184.74";"2r";"R";"R2";"0";"Octavio Cavriani";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10099"
"2691";"SR 184.74";"2r";"OHMar";"MS";"1";"Hanns Wilhelm Herr zu Losenstain auf Schallaburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";"1";"13695"
"2692";"SR 184.74";"2r";"R";"R2";"0";"Hanns Wilhelm Herr zu Losenstain auf Schallaburg";;;"mh";;;;;"13695"
"2693";"SR 184.74";"2r";"K";"R2";"0";"Hanns Wilhelm Herr zu Losenstain auf Schallaburg";;;"mh";;;;;"13695"
"2694";"SR 184.74";"2r";"R";"MS";"0";"Hanns Wilhelm Herr zu Losenstain auf Schallaburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"13695"
"2695";"SR 184.74";"2r";"K";"MS";"0";"Hanns Wilhelm Herr zu Losenstain auf Schallaburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"13695"
"2696";"SR 184.74";"2r";"K";"MS";"1";"Ernst von Molart Freiherr zu Rauegg und Drosendorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";"1608~";"12208"
"2697";"SR 184.74";"2r";"R";"R2";"0";"Ernst von Molart Freiherr zu Rauegg und Drosendorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";"1608";"12208"
"2698";"SR 184.74";"2v";"K";"MS";"2";"Caspar von Danewiz von und auf Jarsdorff und Giersdorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14771"
"2699";"SR 184.74";"2v";"R";"R2";"0";"Caspar von Danewiz von und auf Jarsdorff und Giersdorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14771"
"2700";"SR 184.74";"2v";"K";"MS";"3";"Ernst von Egg Freyherr";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"11518"
"2701";"SR 184.74";"2v";"K";"MS";"4";"Hanns von Molart Freyherr zu Rauegg und Trosendorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"13124"
"2702";"SR 184.74";"2v";"K";"MS";"5";"Wolff Wilhelm Herr von Volckhersdorff auf Weissenburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17088"
"2703";"SR 184.74";"2v";"K";"MS";"6";"Wolff Sigmund Herr zu Losenstain";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10137"
"2704";"SR 184.74";"2v";"K";"MS";"7";"Ludwig Herr von Starhenberg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10385"
"2705";"SR 184.74";"2v";"K";"MS";"8";"Balthasar von Danewiz auf Carbisch";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14772"
"2706";"SR 184.74";"2v";"TraHM";"MS";"0";"Balthasar von Danewiz auf Carbisch";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14772"
"2707";"SR 184.74";"2v";"K";"MS";"9";"Hanns Christoff Herr von Tschernembl";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14849"
"2708";"SR 184.74";"2v";"K";"MS";"10";"Georg Friderich Graf zu Hardegg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"11098"
"2709";"SR 184.74";"2v";"K";"MS";"11";"Jacob von Molart Freyherr zu Rauegg und Trosendorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"12209"
"2710";"SR 184.74";"3r";"K";"MS";"12";"Jacob Hanibal von Raitenaw";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14008"
"2711";"SR 184.74";"3r";"K";"MS";"13";"Johann Eusebius Khuen von Belasi Freyherr";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17873"
"2712";"SR 184.74";"3r";"K";"MS";"14";"Leonhard von Meggaw Freyherr";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10024"
"2713";"SR 184.74";"3r";"K";"MS";"15";"Maximilian Preiner Freiherr";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10476"
"2714";"SR 184.74";"3r";"OTs";"MS";"1";"Bernhard Herr von Buechaim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14379"
"2715";"SR 184.74";"3r";"OSilK";"MS";"1";"Pilgram Herr von Buechaim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2716";"SR 184.74";"3r";"Ms";"MS";"1";"Hanns Wilhelm Grave zu Hardegg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"19106"
"2717";"SR 184.74";"3r";"Ms";"MS";"2";"Andre Herman von Hornberg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17077"
"2718";"SR 184.74";"3r";"Ms";"MS";"3";"Josuas Ennickhel";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14506"
"2719";"SR 184.74";"3r";"Ms";"MS";"4";"Sigmund Adam Herr von Traun";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"11504"
"2720";"SR 184.74";"3r";"Ms";"MS";"5";"Sebastian von Greyß";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17598"
"2721";"SR 184.74";"3v";"Fs";"MS";"1";"Bohuhwal Jaroßlaw Herr von Nachot";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17977"
"2722";"SR 184.74";"3v";"Fs";"MS";"2";"Ludwig Freyherr zu Ek";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2723";"SR 184.74";"3v";"Fs";"MS";"3";"Ruedolff von Puechaim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2724";"SR 184.74";"3v";"Fs";"MS";"4";"Carlo Rim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"15767"
"2725";"SR 184.74";"3v";"Ts";"MS";"1";"Maximilian Freyherr zu Polhaim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17196"
"2726";"SR 184.74";"3v";"Ts";"MS";"2";"Gottfrid Freyherr zu Polhaim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17198"
"2727";"SR 184.74";"3v";"Ts";"MS";"3";"Ferdinand Ellenbogen";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2728";"SR 184.74";"3v";"Ts";"MS";"4";"Hanns Wilhelm Herr von Tschernembl";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17479"
"2729";"SR 184.74";"3v";"Ts";"MS";"5";"Hainrich Thonrädl";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"12769"
"2730";"SR 184.74";"3v";"Ts";"MS";"6";"Hanns Jacob Kueffstainer";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"10215"
"2731";"SR 184.74";"3v";"Ts";"MS";"7";"Pilgram Herr von Sinzendorff";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"11708"
"2732";"SR 184.74";"3v";"Pt";"MS";"1";"Livius de Valente";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2733";"SR 184.74";"4r";"USilK";"MS";"1";"Mathias Plab";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2735";"SR 184.74";"4r";"RCSek";"MS";"1";"Herman Renz";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2736";"SR 184.74";"4r";"Kd";"MS";"1";"Hanns Paradiß";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17054"
"2737";"SR 184.74";"4r";"Kd";"MS";"2";"Franz Pauhofer";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2738";"SR 184.74";"4r";"Kd";"MS";"3";"Hieronimus Wulliuß";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2739";"SR 184.74";"4r";"Kd";"MS";"4";"Hainrich von Behaim";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2740";"SR 184.74";"4r";"Kd";"MS";"5";"Hanns Perchtold";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17737"
"2741";"SR 184.74";"5r";"H";"MS";"1";"Wenzl Neckhisch";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2742";"SR 184.74";"5r";"H";"MS";"2";"Gottfrid Salburg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"14174"
"2743";"SR 184.74";"5r";"H";"MS";"3";"Jacob Hütter";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2744";"SR 184.74";"5r";"H";"MS";"4";"Hanns Wilhelm von Lamersdorf";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2745";"SR 184.74";"5r";"H";"MS";"5";"Christoff Pauchenberg";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2746";"SR 184.74";"5r";"H";"MS";"6";"Ulysses Paravicinus";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"17082"
"2747";"SR 184.74";"5r";"H";"MS";"7";"Hanns Thoman Köferl";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;"31224"
"2748";"SR 184.74";"5r";"H";"MS";"8";"Albrecht Pracht";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2749";"SR 184.74";"5r";"H";"MS";"9";"NN der Fraw von Persntain diener";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2750";"SR 184.74";"5r";"HKt";"MS";"1";"Hanns Koz";;;"mh";;;"in der Rubrik der Bestallungen vor 1608";;NULL
"2751";"SR 184.77";"2r";"OHM";"MS";"1";"Friederich Graf zu Fürstenberg";"1615";;"mh";;;;;"10228"
"2752";"SR 184.77";"2r";"GR";"MS";"0";"Friederich Graf zu Fürstenberg";;;"mh";;;;;"10228"
"2753";"SR 184.77";"2r";"K";"MS";"0";"Friederich Graf zu Fürstenberg";;;"mh";;;;;"10228"
"2754";"SR 184.77";"2r";"GR";"MS";"1";"Melchior Kleßl Bischoff zu Wien unnd in der Neustatt";;;"mh";;"Direktor des Geheimen Ratskollegiums";;;"10075"
"2755";"SR 184.77";"2r";"GR";"MS";"2";"Paul Sixt Trautsohn Graf und Freyherr";;;"mh";;;;"1612";"10150"
"2756";"SR 184.77";"2v";"GR";"MS";"3";"Leonhart Helfrid von Meggau Freyherr";;;"mh";;;;"1612";"10024"
"2758";"SR 184.77";"2v";"GR";"MS";"4";"Georg Sigmund von Lamberg";;;"Obe";;;;;"12406"
"2759";"SR 184.77";"2v";"GR";"MS";"5";"Hans von Mollarth Freyherr";;;"mh";"nachgetragen zwischen Lamberg und Harrach";;;"1614";"13124"
"2760";"SR 184.77";"2v";"GR";"MS";"6";"Carl von Harrach Freyherr";;;"mh";;;;;"10113"
"2761";"SR 184.77";"2v";"GR";"MS";"7";"Hans Ludwig von Ulm";;;"mh";;;;;"10793"
"2763";"SR 184.77";"2v";"GR";"MS";"8";"Ulrich von Khrenberg";;;"mh";;;;;"19170"
"2764";"SR 184.77";"2v";"GR";"MS";"9";"Johan Barvitius";;;"mh";;;;;"11618"
"2765";"SR 184.77";"3r";"OHMar";"MS";"1";"Wolff Sigmund von Losenstein";;;"mh";;;;"1612b";"10137"
"2766";"SR 184.77";"3r";"GR";"MS";"0";"Wolff Sigmund von Losenstein";;;"mh";;;;"1612a";"10137"
"2767";"SR 184.77";"3r";"K";"MS";"0";"Wolff Sigmund von Losenstein";;;"mh";;;;;"10137"
"2768";"SR 184.77";"3r";"RHP";"MS";"1";"Georg Graf zu Hohen Zollern";;;"mh";;;;;"10530"
"2769";"SR 184.77";"3r";"RHR";"MS";"1";"Wilhelm Graf zu Fürstenberg";;;"mh";;;;;"14392"
"2770";"SR 184.77";"3r";"RHR";"MS";"2";"Ernfrid von Minckhwiz Freyherr";;;"mh";;;;;"17570"
"2771";"SR 184.77";"3r";"RHR";"MS";"3";"Maximilian von Trautmansdorff Freyherr";;;"mh";;;;;"10003"
"2773";"SR 184.77";"3r";"RHR";"MS";"4";"Peter Hainrich von Stralendorff";;;"mh";;;;;"10037"
"2774";"SR 184.77";"3r";"RHR";"MS";"5";"Gundackher Herr von Polhaimb Freyherr";;;"mh";;;;;"10127"
"2775";"SR 184.77";"3v";"RHR";"MS";"6";"Schenckh Hainrich Herr von Limburg";;;"mh";;;;;"11346"
"2776";"SR 184.77";"3v";"RHR";"MS";"7";"Wolff Niclas von Grünthall";;;"mh";;;;;"17417"
"2777";"SR 184.77";"3v";"RHR";"MS";"8";"Johan von der Reckh";;;"mh";;;;;"10044"
"2778";"SR 184.77";"3v";"RHR";"MS";"9";"Johan Mattheus Wackher der Rechten Doctor";;;"mh";;;;;"17729"
"2779";"SR 184.77";"3v";"RHR";"MS";"10";"Thomas von Benthaimb der Rechten Doctor";;;"mh";;;;;"31060"
"2780";"SR 184.77";"3v";"RHR";"MS";"11";"Symon Aichin";;;"mh";;;;;"19129"
"2781";"SR 184.77";"3v";"RHR";"MS";"12";"Hans Ruprecht Hegenmüller";;;"mh";;;;;"11108"
"2782";"SR 184.77";"4r";"RHF";"MS";"1";"Johan Wenzel beeder Rechten Doctor";;;"mh";;;;;"14037"
"2783";"SR 184.77";"4r";"HKaR";"MS";"1";"Georg Wilhelm Jörger Freyherr";;;"mh";;;;;"17436"
"2784";"SR 184.77";"4r";"HKaR";"MS";"2";"Ludwig von Starhenberg Freyherr";;;"mh";;;;;"10385"
"2785";"SR 184.77";"4r";"HKaR";"MS";"3";"Vicenz Muschinger";;;"mh";;;;;"10138"
"2786";"SR 184.77";"4r";"HKaR";"MS";"4";"Johan Baptista Weber";;;"mh";;;;;"14029"
"2787";"SR 184.77";"4r";"HKaR";"MS";"5";"Hans Underholzer";;;"mh";;;;;"10126"
"2788";"SR 184.77";"4v";"HKrP";"MS";"1";"Hans von Mollarth Freyherr";;;"mh";"Obrist der Stadtguardia von Wien";;;"1614";"13124"
"2790";"SR 184.77";"4v";"HKrR";"MS";"1";"Hans Christoff Graf von Puechaimb";;;"mh";;;;;"10728"
"2791";"SR 184.77";"4v";"K";"MS";"0";"Hans Christoff Graf von Puechaimb";;;"mh";;;;;"10728"
"2792";"SR 184.77";"4v";"HKrR";"MS";"2";"Adam Herr von unnd zu Trautmansdorf";;;"mh";;;;;"10389"
"2793";"SR 184.77";"4v";"K";"MS";"0";"Adam Herr von unnd zu Trautmansdorf";;;"mh";;;;;"10389"
"2795";"SR 184.77";"4v";"HKrR";"MS";"3";"Rembaldus Graf von Collalto";;;"mh";"bestellter Obrister";;;;"10105"
"2796";"SR 184.77";"4v";"HKrR";"MS";"4";"Hans von Tschernhausen Freyherr";;;"mh";;;;;"17279"
"2797";"SR 184.77";"5r";"OTs";"MS";"1";"Arideo Burguntio";;;"mh";;;;"1608";"13812"
"2798";"SR 184.77";"5r";"Ms";"MS";"1";"Carl von Serau Freyherr";;;"mh";;;;;"10636"
"2799";"SR 184.77";"5r";"Ms";"MS";"2";"Hans Maximilian Jörger Freyherr";;;"mh";;;;;"14940"
"2800";"SR 184.77";"5r";"Ms";"MS";"3";"Graf Laurentius de Scotis";;;"mh";;;"Sterbevermerk";;"13366"
"2801";"SR 184.77";"5r";"Ms";"MS";"4";"Claudio Carreto";;;"mh";;;;;"17070"
"2802";"SR 184.77";"5r";"Ms";"MS";"5";"Philippertus Carreto";;;"mh";;;;;"17069"
"2803";"SR 184.77";"5r";"Ms";"MS";"6";"Hans Niclas von Purgkhaus";;;"mh";;;;;"14546"
"2804";"SR 184.77";"5r";"Ms";"MS";"7";"Hans Sigmundt von Eibenswaldt";;;"mh";;;;;"11337"
"2805";"SR 184.77";"5r";"Ms";"MS";"8";"Carl von Lathen";;;"mh";;;"Dienst von Haus aus";;NULL
"2806";"SR 184.77";"5r";"Ms";"MS";"9";"Friederich zu Khauniz";;;"mh";;;;;"10454"
"2807";"SR 184.77";"5r";"Ms";"MS";"10";"Ulrich Werßkhowßky";;;"mh";;;;;NULL
"2808";"SR 184.77";"5v";"Fs";"MS";"1";"Carl von Stadell";;;"mh";;;;;"13358"
"2809";"SR 184.77";"5v";"Fs";"MS";"2";"Hans Ludwig Geyman";;;"mh";;;;"2";"17449"
"2810";"SR 184.77";"5v";"Fs";"MS";"3";"Aurelius Burguntius";;;"mh";;;;;"14667"
